NAME                            	CHART VERSION	APP VERSION            	DESCRIPTION                                       
bitnami/bitnami-common          	0.0.8        	0.0.8                  	Chart with custom templates used in Bitnami cha...
bitnami/airflow                 	4.3.1        	1.10.9                 	Apache Airflow is a platform to programmaticall...
bitnami/apache                  	7.3.5        	2.4.41                 	Chart for Apache HTTP Server                      
bitnami/cassandra               	5.0.2        	3.11.6                 	Apache Cassandra is a free and open-source dist...
bitnami/consul                  	6.1.3        	1.7.0                  	Highly available and distributed service discov...
bitnami/dokuwiki                	6.0.7        	0.20180422.201901061035	DokuWiki is a standards-compliant, simple to us...
bitnami/drupal                  	6.2.5        	8.8.2                  	One of the most versatile open source content m...
bitnami/elasticsearch           	11.0.4       	7.6.0                  	A highly scalable open-source full-text search ...
bitnami/etcd                    	4.4.14       	3.4.3                  	etcd is a distributed key value store that prov...
bitnami/external-dns            	2.18.0       	0.6.0                  	ExternalDNS is a Kubernetes addon that configur...
bitnami/fluentd                 	0.4.13       	1.9.2                  	Fluentd is an open source data collector for un...
bitnami/ghost                   	9.1.7        	3.5.0                  	A simple, powerful publishing platform that all...
bitnami/grafana                 	1.2.7        	6.6.1                  	Grafana is an open source, feature rich metrics...
bitnami/harbor                  	3.1.4        	1.10.0                 	Harbor is an an open source trusted cloud nativ...
bitnami/influxdb                	0.3.6        	1.7.10                 	InfluxDB is an open source time-series database...
bitnami/jasperreports           	7.0.5        	7.2.0                  	The JasperReports server can be used as a stand...
bitnami/jenkins                 	4.1.5        	2.204.2                	The leading open source automation server         
bitnami/joomla                  	7.1.6        	3.9.15                 	PHP content management system (CMS) for publish...
bitnami/kafka                   	7.2.3        	2.4.0                  	Apache Kafka is a distributed streaming platform. 
bitnami/kibana                  	5.0.6        	7.5.2                  	Kibana is an open source, browser based analyti...
bitnami/kube-state-metrics      	0.1.12       	1.9.4                  	kube-state-metrics is a simple service that lis...
bitnami/kubeapps                	3.3.1        	v1.8.1                 	Kubeapps is a dashboard for your Kubernetes clu...
bitnami/kubewatch               	1.0.5        	0.0.4                  	Kubewatch notifies your slack rooms when change...
bitnami/logstash                	0.2.10       	7.6.0                  	Logstash is an open source, server-side data pr...
bitnami/magento                 	11.0.4       	2.3.4                  	A feature-rich flexible e-commerce solution. It...
bitnami/mariadb                 	7.3.9        	10.3.22                	Fast, reliable, scalable, and easy to use open-...
bitnami/mariadb-cluster         	1.0.1        	10.2.14                	Chart to create a Highly available MariaDB cluster
bitnami/mariadb-galera          	0.8.1        	10.4.12                	MariaDB Galera is a multi-master database clust...
bitnami/mean                    	6.1.1        	4.6.2                  	MEAN is a free and open-source JavaScript softw...
bitnami/mediawiki               	9.1.4        	1.34.0                 	Extremely powerful, scalable software and a fea...
bitnami/memcached               	4.2.6        	1.5.22                 	Chart for Memcached                               
bitnami/metrics-server          	4.1.4        	0.3.6                  	Metrics Server is a cluster-wide aggregator of ...
bitnami/minio                   	3.0.6        	2020.2.7               	MinIO is an object storage server, compatible w...
bitnami/mongodb                 	7.8.4        	4.2.3                  	NoSQL document-oriented database that stores JS...
bitnami/mongodb-sharded         	1.0.7        	4.2.3                  	NoSQL document-oriented database that stores JS...
bitnami/moodle                  	7.1.1        	3.8.1                  	Moodle is a learning platform designed to provi...
bitnami/mxnet                   	1.4.5        	1.5.1                  	A flexible and efficient library for deep learning
bitnami/mysql                   	6.7.7        	8.0.19                 	Chart to create a Highly available MySQL cluster  
bitnami/nats                    	4.3.1        	2.1.4                  	An open-source, cloud-native messaging system     
bitnami/nginx                   	5.1.5        	1.16.1                 	Chart for the nginx server                        
bitnami/nginx-ingress-controller	5.3.4        	0.29.0                 	Chart for the nginx Ingress controller            
bitnami/node                    	11.4.5       	10.19.0                	Event-driven I/O server-side JavaScript environ...
bitnami/node-exporter           	0.2.2        	0.18.1                 	Prometheus exporter for hardware and OS metrics...
bitnami/odoo                    	13.0.1       	12.0.20191215          	A suite of web based open source business apps.   
bitnami/opencart                	7.0.5        	3.0.3-2                	A free and open source e-commerce platform for ...
bitnami/orangehrm               	7.0.5        	4.3.4-0                	OrangeHRM is a free HR management system that o...
bitnami/osclass                 	7.0.5        	3.7.4                  	Osclass is a php script that allows you to quic...
bitnami/owncloud                	8.1.2        	10.3.2                 	A file sharing server that puts the control and...
bitnami/parse                   	10.3.5       	3.10.0                 	Parse is a platform that enables users to add a...
bitnami/phabricator             	9.0.8        	2019.50.0              	Collection of open source web applications that...
bitnami/phpbb                   	7.0.5        	3.3.0                  	Community forum that supports the notion of use...
bitnami/phpmyadmin              	4.2.12       	5.0.1                  	phpMyAdmin is an mysql administration frontend    
bitnami/postgresql              	8.3.4        	11.7.0                 	Chart for PostgreSQL, an object-relational data...
bitnami/postgresql-ha           	1.4.3        	11.6.0                 	Chart for PostgreSQL with HA architecture (usin...
bitnami/prestashop              	9.1.5        	1.7.6-3                	A popular open source ecommerce solution. Profe...
bitnami/prometheus-operator     	0.12.5       	0.36.0                 	The Prometheus Operator for Kubernetes provides...
bitnami/pytorch                 	1.3.5        	1.4.0                  	Deep learning platform that accelerates the tra...
